产品包分类,产品包code,产品包名称,产品包单价（元）,产品包结算价,2025年度6月 新增订购（单）,"2025年度6月 流水（元）
（单价×新增订购）","2025年度6月 收入（元）
（结算价×新增订购）",2025.6.10销量（单）,2025.6.11销量（单）,2025.6.12销量（单）,2024年度6月 新增订购（单）,"2024年度6月 流水（元）
（单价×新增订购）","2024年度6月 收入（元）
（结算价×新增订购）",2024.6.1销量（单）,2024.6.2销量（单）,2024.6.3销量（单）,2024.6.4销量（单）,2024.6.5销量（单）,2024.6.6销量（单）,2024.6.7销量（单）,2024.6.8销量（单）,2024.6.9销量（单）,2024.6.10销量（单）,2024.6.11销量（单）,2024.6.12销量（单）,2024.6.13销量（单）,2024.6.14销量（单）,2024.6.15销量（单）,2024.6.16销量（单）,2024.6.17销量（单）,2024.6.18销量（单）,2024.6.19销量（单）,2024.6.20销量（单）,2024.6.21销量（单）,2024.6.22销量（单）,2024.6.23销量（单）,2024.6.24销量（单）,2024.6.25销量（单）,2024.6.26销量（单）,2024.6.27销量（单）,2024.6.28销量（单）,2024.6.29销量（单）,2024.6.30销量（单）,订购环比增长量（单）,订购环比增长率,订购同比增长量（单）,订购同比增长率
影视类,99500756,酷好看年包（线下）,348.0,0.0,3,1044.0,0.0,0,1,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98,-97.03%,3,∞
影视类,zxsjyfhy,尊享升级月付合约,39.0,30.6,14,546.0,428.4,0,6,8,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-147,-91.30%,14,∞
影视类,zxsjnb,尊享升级年包,365.0,26.0,1,365.0,26.0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,-92.86%,1,∞
影视类,jtyy12,付费单片12元,12.0,4.8,2,24.0,9.6,0,2,0,163,1956,782.4,5,3,1,2,1,1,2,9,8,10,0,2,0,1,6,3,1,2,2,2,1,9,5,3,1,2,3,26,33,19,-350,-99.43%,-10,-83.33%
影视类,jtyy6,付费单片6元,6.0,2.4,4,24.0,9.6,0,3,1,224,1344,537.6,9,5,1,4,0,3,1,5,8,4,4,2,2,6,6,2,4,4,3,6,7,5,4,5,4,4,6,53,32,25,-401,-99.01%,-6,-60.00%
酒店版,gdpay3jddy5,广电酒店5元影视,5.0,2.0,0,0.0,0.0,0,0,0,3964,19820,7928.0,188,106,75,96,98,109,149,250,240,154,97,78,109,142,178,139,110,97,126,125,120,138,131,105,82,119,107,147,188,161,-1,-100.00%,-329,-100.00%
酒店版,gdjdysbt,酒店定向影视包0,15.0,6.0,0,0.0,0.0,0,0,0,302,4530,1812.0,301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-542,-100.00%,0,0.00%
酒店版,gdjdysbt1,酒店定向影视包1,15.0,6.0,95,1425.0,570.0,0,95,0,2595,38925,15570.0,0,0,114,1,115,0,232,1,373,1,139,1,116,1,269,1,138,0,178,2,202,0,160,0,133,0,153,1,264,0,-1650,-94.56%,-46,-32.62%
酒店版,gdjdysbt2,酒店定向影视包2,15.0,6.0,97,1455.0,582.0,0,1,96,2817,42255,16902.0,0,174,0,130,1,142,0,437,2,171,0,137,0,210,2,180,0,142,1,188,0,202,0,151,0,142,2,218,0,185,-1961,-95.29%,-211,-68.51%
付费频道,gdffpd,全享通频道月付合约,25.0,10.0,10,250.0,100.0,0,8,2,449,11225,4490.0,20,15,15,16,10,9,14,21,23,14,15,14,16,12,16,19,10,15,11,9,16,15,14,12,18,12,15,23,20,10,-125,-92.59%,-33,-76.74%
付费频道,shpdyfhy,爱生活频道月付合约,15.0,6.0,10,150.0,60.0,7,2,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,-75.00%,10,∞
付费频道,typdyfhy,爱体育频道月付合约,15.0,6.0,3,45.0,18.0,0,2,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61,-95.31%,3,∞
付费频道,yspdyfhy,爱影视频道月付合约,9.0,3.6,2,18.0,7.2,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,-92.00%,2,∞
付费频道,qxtpdnb,全享通频道年包,239.0,95.6,1,239.0,95.6,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44,-97.78%,1,∞
少儿,gdsrdmby,少儿动漫包,39.0,15.6,17,663.0,265.2,0,9,8,1872,73008,29203.2,8,6,0,0,0,3,0,4,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,97,214,289,476,451,318,-128,-88.28%,16,1600.00%
少儿,gdseb,少儿VIP月包,29.0,11.6,159,4611.0,1844.4,0,68,91,5014,145406,58162.4,419,289,108,159,122,125,191,388,301,296,98,93,116,132,262,226,92,110,134,114,188,306,193,108,45,63,72,109,88,67,-2777,-94.58%,-328,-67.35%
少儿,gdcjsedby,少儿VIP31天,39.0,15.6,12,468.0,187.2,0,9,3,921,35919,14367.6,64,56,16,19,17,22,22,54,45,38,19,11,13,19,37,27,13,10,14,19,27,57,31,10,29,23,38,64,63,44,-138,-92.00%,-56,-82.35%
少儿,gdcjsejb,少儿VIP季包,79.0,31.6,13,1027.0,410.8,0,8,5,213,16827,6730.8,16,3,3,5,2,3,3,9,6,11,6,0,3,5,8,8,3,6,1,4,16,17,16,6,1,9,11,17,9,6,-171,-92.93%,-4,-23.53%
少儿,cjsebnb,少儿VIP半年包,139.0,55.6,2,278.0,111.2,0,2,0,359,49901,19960.4,12,14,7,10,9,8,5,19,19,17,4,7,10,16,19,12,5,3,8,9,13,22,13,8,10,12,16,21,15,16,-79,-97.53%,-26,-92.86%
